USERNAME,RANK,RATING,MAX RATING,TWITTER HANDLE,COUNTRY
zscoder,145th,2741,2850, , Malaysia
wo01,146th,2739,2739,wo_M, Japan
mcfx,147th,2733,2733, , Japan
ildargainull,148th,2729,2809, , Russia
sfiction,148th,2729,2761, , China
Arterm,150th,2720,3160,Jinotega3000, Belarus
VegetableChicken,151st,2713,2713, , China
jiaqiyang,152nd,2711,2711, , China
Vercingetorix,153rd,2708,2708, , Russia
dacin21,154th,2707,2707, , Switzerland
izrak,155th,2705,2705, , Australia
khsoo01,156th,2703,2784, , Republic of Korea
climpet,157th,2699,2699, , Japan
anta,158th,2697,2975,anta_prg, Japan
MrDindows,159th,2696,2732, , Ukraine
yanQval,160th,2688,2688, , China
AwD,160th,2688,2688, , China
dragoon,162nd,2683,2683, , Bangladesh
zerokugi,163rd,2682,2753,zerokugi, Japan
laofu,164th,2677,2677, , China
xellos,165th,2676,2835, , Slovakia
splittinghares,166th,2673,2673, , Canada
Tommyr7,167th,2672,2684, , China
Andrew_Makar,168th,2668,2668, , Ukraine
skydec,169th,2665,2665, , China
logicmachine,170th,2663,2753,logicmachine, Japan
GendelPiekel,171st,2660,2820, , Australia
pwypeanut,172nd,2658,2691, , Singapore
Y_UME,173rd,2656,2656, , China
mareksom,174th,2654,2655, , Poland
lewin,175th,2652,2759, , United States of America
Timur_Sitdikov,176th,2643,2685, , Uzbekistan
abyssmall,177th,2639,2639, , Australia
ftiasch,177th,2639,2828,ftiasch, China
Lepton,179th,2636,2638,Lepton_s, Japan
xllend3,180th,2632,2632, , China
OhWeOnFire,181st,2627,2720, , China
AndreySergunin,182nd,2624,2624, , Russia
goto,183rd,2623,2623,gotoloop1, Japan
guo,184th,2622,2622, , China
tqyaaaaang,185th,2617,2617, , China
wifi,186th,2616,2698, , Indonesia
kraskevich,187th,2615,2615, , Russia
AndreiNet,188th,2613,2643, , Romania
tamionv,189th,2612,2612, , Romania
ccz181078,190th,2611,2611, , China
voidmax,190th,2611,2611, , Russia
yx_lu,192nd,2610,2610, , China
Kaban5,192nd,2610,2654, , Russia
PIandS,194th,2606,2606,PItS_compro, Japan
Ping_Pong,195th,2605,2630, , Russia
gritukan,196th,2601,2631, , Russia
wtw,197th,2600,2615, , China
stilltooyoung,198th,2592,2656, , China
yfzcsc,199th,2591,2591, , China
catupper,199th,2591,2673,catupper, Japan
grumpy_gordon,201st,2589,2589, , Russia
orbitingflea,202nd,2587,2593, , China
fanache99,203rd,2586,2689, , Romania
dy0607,204th,2585,2585, , China
PECaveros,205th,2583,2583, , Taiwan
dnk,206th,2582,2604,dnk_97, Viet Nam
chemthan,207th,2580,2694, , Viet Nam
Miceren,208th,2578,2578,Miceren, China
square1001,209th,2577,2675,square10011, Japan
reew2n,209th,2577,2588,sortreew, Japan
samjia2000,211st,2576,2576, , China
beet,212nd,2575,2575,beet_aizu, Japan
satashun,212nd,2575,2643,satashun, Japan
ir5,214th,2574,2652,ir5, Japan
darinflar,215th,2572,2572, , Russia
xyz2606,216th,2571,2571, , China
Demerzel_IV,217th,2570,2573, , China
palayutm,217th,2570,2580, , China
TangentDay,217th,2570,2570,TangentDay, Japan
teja349,220th,2566,2570, , India
phidnight,221st,2565,2570,phidnight, Japan
FatalEagle,222nd,2563,2663, , Canada
btk15049,222nd,2563,2563,btk15049, Japan
wcz111,224th,2561,2561, , China
ania,224th,2561,2561, , Poland
hirosegolf,226th,2560,2560, , Japan
drafear,227th,2553,2554,drafear, Japan
unused,228th,2549,2549, , Republic of Korea
Belonogov,228th,2549,2678, , Russia
ainu7,230th,2545,2705,ainu7, Republic of Korea
Whalanator,231st,2544,2544, , Australia
alecsyde,232nd,2542,2583, , India
elvina,233rd,2538,2538,I_love_xmaz, Poland
Eliden,234th,2537,2593, , Canada
avolchek,234th,2537,2537, , Belarus
liumh8,236th,2530,2530, , China
Wearry,236th,2530,2530, , China
riantkb,238th,2529,2591,rian_tkb, Japan
ugly2333,239th,2526,2554, , China
dprpavlin,240th,2524,2566, , Russia
gispzjz,241st,2523,2523, , China
Kmcode,241st,2523,2639,, None
s1451900,243rd,2522,2522, , China
tlwpdus,244th,2520,2520, , Republic of Korea
mHuman,245th,2519,2519,-, Ukraine
polequoll,245th,2519,2519, , Republic of Korea
mjy0724,247th,2517,2575, , China
fsouza,248th,2516,2693, , Brazil
gongy,248th,2516,2516, , Australia
Komaki,248th,2516,2624,Komaki__, Japan
Namnamseo,251st,2514,2654,Namnamseo_jpn, Republic of Korea
lsmll,252nd,2512,2512, , China
rowdark,252nd,2512,2512, , China
Tabasz,254th,2510,2510, , Poland
rqy,255th,2509,2509, , China
sasa99,255th,2509,2528, , Iran
tokoharu,257th,2508,2508, , Japan
Aquarius,258th,2506,2506, , Japan
cyz666,259th,2504,2504,cyz666, Japan
Miyukine,259th,2504,2504, , Poland
lastans7,261st,2503,2545, , China
diamond_duke,262nd,2501,2501, , China
vlecomte,262nd,2501,2501, , Belgium
imang,264th,2497,2497, , Iran
missever,265th,2496,2496, , China
mamekin,266th,2493,2581,mamemame_fujita, Japan
jihoon,267th,2492,2492, , Republic of Korea
kdh9949,268th,2491,2491, , Republic of Korea
hoget157,268th,2491,2491,Hoget157, Japan
wzp,270th,2490,2490, , China
